race_id,competition,extracted_frames,total_frames,success_rate,fps,frame_width,frame_height,start_frame,finish_frame,athlete_lane_inferred,athlete_mean_x,file_path
Speed_finals_Villars_2024_race010,villars_2024,200,209,95.69377990430623,30.0,1280,720,45,253,right,0.722,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race010_pose.json
Speed_finals_Villars_2024_race011,villars_2024,253,259,97.68339768339769,30.0,1280,720,45,303,left,0.376,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race011_pose.json
Speed_finals_Villars_2024_race012,villars_2024,204,205,99.51219512195122,30.0,1280,720,45,249,left,0.319,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race012_pose.json
Speed_finals_Villars_2024_race014,villars_2024,162,162,100.0,30.0,1280,720,45,206,right,0.715,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race014_pose.json
Speed_finals_Villars_2024_race016,villars_2024,166,167,99.40119760479041,30.0,1280,720,45,211,right,0.714,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race016_pose.json
Speed_finals_Villars_2024_race017,villars_2024,204,204,100.0,30.0,1280,720,45,248,right,0.723,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race017_pose.json
Speed_finals_Villars_2024_race018,villars_2024,210,211,99.52606635071089,30.0,1280,720,45,255,left,0.345,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race018_pose.json
Speed_finals_Villars_2024_race020,villars_2024,306,307,99.6742671009772,30.0,1280,720,45,351,left,0.327,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race020_pose.json
Speed_finals_Villars_2024_race021,villars_2024,254,254,100.0,30.0,1280,720,45,298,left,0.325,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race021_pose.json
Speed_finals_Villars_2024_race022,villars_2024,212,217,97.6958525345622,30.0,1280,720,45,261,center,0.475,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race022_pose.json
Speed_finals_Villars_2024_race024,villars_2024,154,156,98.71794871794873,30.0,1280,720,45,200,right,0.702,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race024_pose.json
Speed_finals_Zilina_2025_race012,zilina_2025,265,391,67.77493606138107,30.0,1280,720,45,435,left,0.25,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race012_pose.json
Speed_finals_Zilina_2025_race020,zilina_2025,324,451,71.84035476718404,30.0,1280,720,45,495,left,0.294,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race020_pose.json
Speed_finals_Zilina_2025_race023,zilina_2025,183,205,89.26829268292683,30.0,1280,720,45,249,left,0.273,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race023_pose.json
Speed_finals_Zilina_2025_race037,zilina_2025,366,451,81.1529933481153,30.0,1280,720,45,495,left,0.254,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race037_pose.json
Speed_finals_Zilina_2025_race039,zilina_2025,356,421,84.56057007125891,30.0,1280,720,45,465,right,0.739,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race039_pose.json
Speed_finals_Zilina_2025_race040,zilina_2025,292,451,64.7450110864745,30.0,1280,720,45,495,left,0.299,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race040_pose.json
Speed_finals_Zilina_2025_race046,zilina_2025,355,421,84.32304038004752,30.0,1280,720,45,465,left,0.237,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race046_pose.json
Speed_finals_Zilina_2025_race060,zilina_2025,387,421,91.92399049881234,30.0,1280,720,45,465,left,0.34,data/processed/poses/single_athlete/poses_zilina_2025/Speed_finals_Zilina_2025_race060_pose.json
