iteration,metric,reference_minus_cnn
76,balanced_accuracy,0.5349999999999999
76,f1_macro,0.5349999999999999
76,f1_beginner,1.0
76,precision_beginner,1.0
76,recall_beginner,1.0
76,roc_auc,0.43714285714285717
76,pr_auc,0.9168266824167702
77,accuracy,0.14018691588785048
77,balanced_accuracy,0.4661716171617162
77,f1_macro,0.47924753657808306
77,f1_beginner,0.8823529411764706
77,precision_beginner,0.9090909090909091
77,recall_beginner,0.8333333333333334
77,roc_auc,0.4554455445544554
77,pr_auc,0.9203338235245154
78,accuracy,0.11214953271028039
78,balanced_accuracy,0.4513201320132013
78,f1_macro,0.4585714285714285
78,f1_beginner,0.8571428571428571
78,precision_beginner,0.875
78,recall_beginner,0.8333333333333334
78,roc_auc,0.5610561056105611
78,pr_auc,0.9301209087927701
79,accuracy,0.13084112149532712
79,balanced_accuracy,0.4612211221122112
79,f1_macro,0.47285353535353536
79,f1_beginner,0.875
79,precision_beginner,0.9
79,recall_beginner,0.8333333333333334
79,roc_auc,0.45709570957095713
79,pr_auc,0.9181944190172553
80,accuracy,0.09345794392523366
80,balanced_accuracy,0.4485714285714286
80,f1_macro,0.4414191419141914
80,f1_beginner,0.8333333333333334
80,precision_beginner,0.8
80,recall_beginner,0.8571428571428572
80,roc_auc,0.7085714285714286
80,pr_auc,0.9275602671003476
81,accuracy,0.13084112149532712
81,balanced_accuracy,0.5255102040816326
81,f1_macro,0.5349999999999999
81,f1_beginner,1.0
81,precision_beginner,1.0
81,recall_beginner,1.0
81,roc_auc,0.5192743764172336
81,pr_auc,0.902651939436792
82,accuracy,0.09345794392523366
82,balanced_accuracy,0.5424528301886793
82,f1_macro,0.5245098039215687
82,f1_beginner,1.0
82,precision_beginner,1.0
82,recall_beginner,1.0
82,roc_auc,1.0
82,pr_auc,0.9906542056074766
83,accuracy,0.22429906542056077
83,balanced_accuracy,0.5267543859649122
83,f1_macro,0.5253682487725042
83,f1_beginner,0.9230769230769231
83,precision_beginner,0.9285714285714286
83,recall_beginner,0.9166666666666666
83,roc_auc,0.5570175438596492
83,pr_auc,0.8894264511442265
84,accuracy,0.14953271028037385
84,balanced_accuracy,0.41214285714285714
84,f1_macro,0.44123711340206184
84,f1_beginner,0.8
84,precision_beginner,0.8461538461538461
84,recall_beginner,0.7142857142857143
84,roc_auc,0.4714285714285714
84,pr_auc,0.8911514009253492
85,accuracy,0.16822429906542058
85,balanced_accuracy,0.4954648526077098
85,f1_macro,0.4963917525773196
85,f1_beginner,0.9
85,precision_beginner,0.9090909090909091
85,recall_beginner,0.8888888888888888
85,roc_auc,0.5578231292517006
85,pr_auc,0.9066693186039928
86,accuracy,0.14018691588785048
86,balanced_accuracy,0.5576923076923077
86,f1_macro,0.5376884422110553
86,f1_beginner,1.0
86,precision_beginner,1.0
86,recall_beginner,1.0
86,roc_auc,0.7371794871794872
86,pr_auc,0.9750548624219265
87,accuracy,0.19626168224299068
87,balanced_accuracy,0.47626841243862517
87,f1_macro,0.4755555555555556
87,f1_beginner,0.84
87,precision_beginner,0.8333333333333334
87,recall_beginner,0.8461538461538461
87,roc_auc,0.5818330605564648
87,pr_auc,0.8753888314841383
88,accuracy,0.08411214953271029
88,balanced_accuracy,0.28809523809523807
88,f1_macro,0.43125839677563815
88,f1_beginner,0.8181818181818182
88,precision_beginner,0.8888888888888888
88,recall_beginner,0.5
88,roc_auc,0.2142857142857143
88,pr_auc,0.9188034188034189
89,accuracy,0.20560747663551404
89,balanced_accuracy,0.5158730158730159
89,f1_macro,0.5162280701754386
89,f1_beginner,0.9166666666666666
89,precision_beginner,0.9333333333333333
89,recall_beginner,0.8888888888888888
89,roc_auc,0.4478458049886621
89,pr_auc,0.8953292341714377
90,accuracy,0.17757009345794394
90,balanced_accuracy,0.49810606060606055
90,f1_macro,0.5016037503084134
90,f1_beginner,0.9047619047619048
90,precision_beginner,0.9230769230769231
90,recall_beginner,0.875
90,roc_auc,0.3712121212121212
90,pr_auc,0.8923446007890137
91,accuracy,0.10280373831775702
91,balanced_accuracy,0.409297052154195
91,f1_macro,0.3943048576214405
91,f1_beginner,0.7333333333333334
91,precision_beginner,0.6666666666666667
91,recall_beginner,0.7777777777777778
91,roc_auc,0.5192743764172336
91,pr_auc,0.8671789906307592
92,accuracy,0.10280373831775702
92,balanced_accuracy,0.4603092783505155
92,f1_macro,0.45044010715652516
92,f1_beginner,0.8461538461538461
92,precision_beginner,0.6666666666666667
92,recall_beginner,0.9
92,roc_auc,0.49896907216494846
92,pr_auc,0.8685143768438707
93,accuracy,0.07476635514018692
93,balanced_accuracy,0.4315181518151815
93,f1_macro,0.41960784313725485
93,f1_beginner,0.8
93,precision_beginner,0.75
93,recall_beginner,0.8333333333333334
93,roc_auc,0.301980198019802
93,pr_auc,0.8484832309429299
94,accuracy,0.10280373831775702
94,balanced_accuracy,0.5428571428571429
94,f1_macro,0.5270935960591133
94,f1_beginner,1.0
94,precision_beginner,1.0
94,recall_beginner,1.0
94,roc_auc,0.6047619047619048
94,pr_auc,0.9761904761904762
95,accuracy,0.08411214953271029
95,balanced_accuracy,0.5242718446601942
95,f1_macro,0.5219512195121951
95,f1_beginner,1.0
95,precision_beginner,1.0
95,recall_beginner,1.0
95,roc_auc,0.7961165048543689
95,pr_auc,0.970389889823342
96,accuracy,0.10280373831775702
96,balanced_accuracy,0.5294117647058824
96,f1_macro,0.5270935960591133
96,f1_beginner,1.0
96,precision_beginner,1.0
96,recall_beginner,1.0
96,roc_auc,0.41960784313725485
96,pr_auc,0.9313313232269652
97,accuracy,0.10280373831775702
97,balanced_accuracy,0.5339805825242718
97,f1_macro,0.5270935960591133
97,f1_beginner,1.0
97,precision_beginner,1.0
97,recall_beginner,1.0
97,roc_auc,0.8349514563106796
97,pr_auc,0.9728148450204746
98,accuracy,0.14953271028037385
98,balanced_accuracy,0.5309278350515464
98,f1_macro,0.5404040404040404
98,f1_beginner,1.0
98,precision_beginner,1.0
98,recall_beginner,1.0
98,roc_auc,0.6041237113402063
98,pr_auc,0.9039230766198755
99,accuracy,0.10280373831775702
99,balanced_accuracy,0.5339805825242718
99,f1_macro,0.5270935960591133
99,f1_beginner,1.0
99,precision_beginner,1.0
99,recall_beginner,1.0
99,roc_auc,0.9199029126213593
99,pr_auc,0.9747521477861905
100,accuracy,0.11214953271028039
100,balanced_accuracy,0.5297029702970297
100,f1_macro,0.5297029702970297
100,f1_beginner,1.0
100,precision_beginner,1.0
100,recall_beginner,1.0
100,roc_auc,0.36798679867986794
100,pr_auc,0.9106480266783143
101,accuracy,0.07476635514018692
101,balanced_accuracy,0.4315181518151815
101,f1_macro,0.41960784313725485
101,f1_beginner,0.8
101,precision_beginner,0.75
101,recall_beginner,0.8333333333333334
101,roc_auc,0.2607260726072608
101,pr_auc,0.8267244197450148
102,accuracy,0.10280373831775702
102,balanced_accuracy,0.41546391752577316
102,f1_macro,0.3943048576214405
102,f1_beginner,0.7333333333333334
102,precision_beginner,0.6
102,recall_beginner,0.8
102,roc_auc,0.4402061855670103
102,pr_auc,0.8361261562986584
103,accuracy,0.14018691588785048
103,balanced_accuracy,0.54
103,f1_macro,0.5376884422110553
103,f1_beginner,1.0
103,precision_beginner,1.0
103,recall_beginner,1.0
103,roc_auc,0.4542857142857143
103,pr_auc,0.9187487316190418
104,accuracy,0.15887850467289721
104,balanced_accuracy,0.4760726072607261
104,f1_macro,0.4909581646423752
104,f1_beginner,0.8947368421052632
104,precision_beginner,0.9230769230769231
104,recall_beginner,0.8333333333333334
104,roc_auc,0.5165016501650165
104,pr_auc,0.9278106056492885
105,accuracy,0.11214953271028039
105,balanced_accuracy,0.525
105,f1_macro,0.5297029702970297
105,f1_beginner,1.0
105,precision_beginner,1.0
105,recall_beginner,1.0
105,roc_auc,0.5485714285714286
